word,meaning,sort,title,phonetic,english_meaning,example
dormant,adj. 睡着的；休眠的；(动物等)冬眠的,3,Chapter 3 动物保护,/ˈdɔːmənt/,"Something that is not active or awake, but can become active again later.","For example, a seed is dormant in the ground during winter and starts to grow when it gets warm."
hibernation,n. 冬眠,3,Chapter 3 动物保护,/ˌhaɪbəˈneɪʃ(ə)n/,It is a way some animals sleep through the cold winter months to save energy.,"For example, a bear sleeps in its cave all winter and wakes up when it gets warm again."
track,v. 追踪 n. 足迹，踪迹；轨道,3,Chapter 3 动物保护,/træk/,"To follow something or someone closely, or the path that something leaves behind.","For example, a dog might follow the path of a rabbit in the snow."
trace,v. 追踪；查出；追溯 n. 痕迹；少许,3,Chapter 3 动物保护,/treɪs/,To follow something or someone to find out where they went or what happened.,"For example, the police tried to follow the thief's path to find where he was hiding."
alternate,v.(使)交替，(使)轮流,3,Chapter 3 动物保护,/ɔːlˈtɜːnət;ˈɔːltəneɪt/,To take turns doing something or happening one after the other.,"For example, you and your friend might take turns riding a bike."
prey,n. 被捕食的动物，猎物 v. 捕食,3,Chapter 3 动物保护,/preɪ/,A creature that is hunted and eaten by another animal.,"For example, a rabbit is the food of a fox."
predator,n. 掠夺者；捕食性动物,3,Chapter 3 动物保护,/ˈpredətə(r)/,A creature that hunts and eats other animals for food.,"For example, a lion is a creature that hunts and eats smaller animals like zebras."
victim,n. 受害者；牺牲者,3,Chapter 3 动物保护,/ˈvɪktɪm/,A person who is hurt or harmed by something bad that happens.,"For example, a person who was stolen from is a person who was harmed by a thief."
captive,n. 俘虏 adj. 被关押的；受控制的,3,Chapter 3 动物保护,/ˈkæptɪv/,Someone who is held by another person and cannot go free. Also describes something that is controlled by someone else.,"For example, a soldier who is taken prisoner during a war is called a captive."
defensive,adj. 防御性的,3,Chapter 3 动物保护,/dɪˈfensɪv/,Something that is used to protect yourself or your team from being attacked or hurt.,"For example, a player in a soccer game might act defensive by trying to stop the other team from scoring."
undergo,v. 经历，经受,3,Chapter 3 动物保护,/ˌʌndəˈɡəʊ/,"To undergo means to experience something, especially something difficult or challenging.","For example, a patient might undergo surgery to get better."
suffer,v. 遭受；受折磨；变糟,3,Chapter 3 动物保护,/ˈsʌfə(r)/,"To suffer means to experience something bad or painful, like pain, sadness, or a problem.","For example, if you fall and hurt your leg, you are suffering from the pain."
vulnerable,adj. 易受伤的，脆弱的；易受影响的,3,Chapter 3 动物保护,/ˈvʌlnərəbl/,"Something that is vulnerable can be easily hurt or damaged, either physically or emotionally.","For example, a small plant can be vulnerable to strong winds and might get broken easily."
subsistence,n. 勉强维持生活,3,Chapter 3 动物保护,/səbˈsɪstəns/,"It means living with just enough to stay alive, but not having much extra.","For example, some people in poor areas get food and shelter by working very hard each day."
exist,v. 存在；生存,3,Chapter 3 动物保护,/ɪɡˈzɪst/,To be alive or to be in a place or situation.,"For example, trees exist in the forest and help animals live there."
exterminate,v. 消灭，根除,3,Chapter 3 动物保护,/ɪkˈstɜːmɪneɪt/,To completely destroy something so that there is none left.,"For example, a farmer might kill all the insects in his garden to protect his plants."
tame,v. 驯养；制服 adj. 驯服的；乏味的,3,Chapter 3 动物保护,/teɪm/,"To make an animal or a person follow your rules, or to make something less strong.","For example, people can train a wild horse to live in a stable and do what they are told."
keeper,n. 看守人；饲养员,3,Chapter 3 动物保护,/ˈkiːpə(r)/,A person who takes care of animals or watches over a place.,"For example, the person who feeds the animals at the zoo is called a keeper."
shepherd,n.牧羊人，羊倌,3,Chapter 3 动物保护,/ˈʃepəd/,A person who takes care of sheep and leads them to places to eat.,"For example, a person who watches over a group of sheep in the countryside is called a shepherd."
